Sakir, Azimkar, , he/him, 22/10/2001, ,3.0, 4.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, ,3.0, 5.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir, Azimkar, Mr, he/him, 22/10/2001, Student,300.0, 500.0
Sakir,Azimkar,Mr,he/him,22/10/2001,Student,300.0,500.0
